City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
209,Srednekolymsk,67.45,153.6833,-13.72,overcast clouds,100,100,6.06,RU
210,Viedma,-40.8135,-62.9967,53.71,overcast clouds,49,100,16.33,AR
211,Rundu,-17.9333,19.7667,73.94,overcast clouds,58,100,9.35,NA
212,Novikovo,51.1537,37.8879,51.93,light rain,91,100,14.43,RU
213,Satka,55.0425,59.04,28.51,overcast clouds,71,100,3.29,RU
214,George Town,5.4112,100.3354,79.23,scattered clouds,94,40,3.44,MY
215,Am Timan,11.0297,20.2827,80.1,broken clouds,31,82,4.12,TD
216,Hasaki,35.7333,140.8333,48.6,few clouds,57,17,19.35,JP
217,Yulara,-25.2406,130.9889,75.0,broken clouds,64,73,15.01,AU
218,Natal,-5.795,-35.2094,83.05,scattered clouds,65,40,21.85,BR
219,Bastia,42.6667,9.3333,65.3,clear sky,86,0,3.44,FR
220,Wasilla,61.5814,-149.4394,23.18,overcast clouds,59,99,4.0,US
221,Mehamn,71.0357,27.8492,39.11,broken clouds,70,75,23.02,NO
222,Wajima,37.4,136.9,55.35,broken clouds,57,71,5.77,JP
223,West Richland,46.3043,-119.3614,62.82,broken clouds,65,75,1.01,US
224,Klaksvik,62.2266,-6.589,45.52,overcast clouds,97,97,16.58,FO
225,Dukat,62.55,155.55,7.5,light snow,96,100,4.5,RU
226,Lata,40.1629,-8.3327,63.81,overcast clouds,96,100,2.62,PT
227,Touros,-5.1989,-35.4608,79.92,few clouds,68,23,17.05,BR
228,Vardo,70.3705,31.1107,37.38,light rain,87,75,39.12,NO
229,Fairbanks,64.8378,-147.7164,16.83,clear sky,77,0,0.0,US
230,Nikolskoye,59.7035,30.7861,51.69,overcast clouds,77,88,16.87,RU
231,Codrington,-38.2667,141.9667,41.95,broken clouds,94,52,5.97,AU
232,Longyearbyen,78.2186,15.6401,22.84,broken clouds,74,75,10.36,SJ
233,Eyl,7.9803,49.8164,78.46,few clouds,72,20,9.1,SO
234,Campbell River,50.0163,-125.2446,55.45,broken clouds,93,75,3.44,CA
235,Kyabe,9.4515,18.9449,78.75,few clouds,38,11,2.68,TD
236,Adilcevaz,38.8039,42.7342,48.74,clear sky,48,1,0.94,TR
237,Khorixas,-20.3667,14.9667,66.72,overcast clouds,31,100,6.73,NA
238,Tabas,33.5959,56.9244,71.82,overcast clouds,23,96,4.61,IR
239,Belfast,54.5833,-5.9333,57.02,few clouds,78,20,14.97,GB
240,Lavrentiya,65.5833,-171.0,21.02,broken clouds,79,84,12.82,RU
241,Port-Gentil,-0.7193,8.7815,78.76,scattered clouds,94,40,2.3,GA
242,Aleysk,52.4926,82.7822,25.95,broken clouds,64,71,4.99,RU
243,Dauphin,51.1494,-100.0502,59.14,clear sky,29,0,10.36,CA
244,Luwuk,-0.9516,122.7875,77.88,overcast clouds,74,100,3.58,ID
245,Airai,-8.9266,125.4092,60.93,overcast clouds,94,100,1.34,TL
246,Baglan,36.1307,68.7083,65.25,clear sky,41,5,2.91,AF
247,Chuy,-33.6971,-53.4616,81.52,clear sky,50,3,5.37,UY
248,Saint-Philippe,-21.3585,55.7679,71.19,scattered clouds,81,40,7.76,RE
249,Ambilobe,-13.2,49.05,74.62,light rain,78,100,2.82,MG
250,Pacific Grove,36.6177,-121.9166,71.65,broken clouds,67,53,10.0,US
251,Esperance,-33.8667,121.9,53.44,light rain,77,100,18.54,AU
252,Tommot,58.9564,126.2925,10.81,overcast clouds,96,98,1.32,RU
253,Centennial,39.5792,-104.8769,59.79,clear sky,20,0,5.01,US
254,Marzuq,14.4,46.4667,67.59,scattered clouds,46,33,4.21,YE
255,Asau,46.4333,26.4,49.28,overcast clouds,77,88,7.56,RO
256,Qasigiannguit,68.8193,-51.1922,24.69,overcast clouds,79,100,6.93,GL
257,Whitehorse,60.7161,-135.0538,25.81,broken clouds,85,75,13.8,CA
258,Kijang,35.2442,129.2139,55.13,overcast clouds,76,100,9.73,KR
259,Grande Prairie,55.1667,-118.8027,39.38,broken clouds,56,75,17.27,CA
260,Winchester,51.0651,-1.3187,63.52,few clouds,86,20,8.05,GB
261,Jacareacanga,-6.2222,-57.7528,96.73,broken clouds,32,83,5.32,BR
262,Kiama,-34.6833,150.8667,60.01,clear sky,67,2,5.01,AU
263,Sharkan,57.2989,53.8712,33.08,overcast clouds,98,100,9.71,RU
264,Aksarka,66.5606,67.7975,21.51,overcast clouds,95,100,10.74,RU
265,Vila Velha,-20.3297,-40.2925,80.55,light rain,86,20,20.71,BR
266,Luau,-10.7073,22.2247,68.0,overcast clouds,85,100,3.44,AO
267,Alofi,-19.0595,-169.9187,75.09,overcast clouds,88,92,11.5,NU
268,Udachnyy,66.4167,112.4,-3.91,overcast clouds,100,88,5.3,RU
269,High Level,58.5169,-117.136,37.51,broken clouds,70,75,6.91,CA
270,Marabba,12.35,32.1833,90.7,broken clouds,29,83,7.9,SD
271,Cockburn Town,21.4612,-71.1419,85.96,scattered clouds,66,40,9.22,TC
272,Margate,51.3813,1.3862,62.69,broken clouds,82,84,5.01,GB
273,Gazojak,41.1875,61.4036,54.82,overcast clouds,50,100,8.05,TM
274,Troitsko-Pechorsk,62.7084,56.1964,32.86,overcast clouds,97,100,9.42,RU
275,Kaduqli,11.0167,29.7167,81.3,overcast clouds,37,85,5.91,SD
276,Paamiut,61.994,-49.6678,34.36,snow,98,100,12.33,GL
277,Carutapera,-1.195,-46.02,82.89,few clouds,72,16,12.08,BR
278,Kroya,-7.6331,109.2461,75.38,overcast clouds,82,100,4.92,ID
279,Maneadero,31.7167,-116.5667,69.1,few clouds,77,21,3.0,MX
280,Siverek,37.755,39.3167,57.34,clear sky,29,0,5.93,TR
281,Chail,25.4333,81.6333,69.51,clear sky,52,0,2.26,IN
282,Walvis Bay,-22.9575,14.5053,61.09,scattered clouds,82,30,6.91,NA
283,Pouebo,-20.4,164.5667,77.09,clear sky,79,2,0.38,NC
284,Mocuba,-16.8392,36.9856,73.13,clear sky,91,7,2.98,MZ
285,Ostrovnoy,68.0531,39.5131,41.7,light rain,93,100,24.72,RU
286,Durazno,-33.4131,-56.5006,80.49,broken clouds,47,55,9.35,UY
287,Baghdad,33.3406,44.4009,67.91,clear sky,34,3,2.3,IQ
288,Ndjole,-0.1783,10.7649,72.57,light rain,94,48,0.87,GA
289,Pinawa,50.1489,-95.8811,56.21,broken clouds,41,79,3.36,CA
290,Radeberg,51.1167,13.9167,59.43,clear sky,47,0,5.75,DE
291,Paungde,18.4833,95.5,73.35,clear sky,86,8,6.17,MM
292,Constantine,36.365,6.6147,65.61,clear sky,34,0,2.3,DZ
293,Magadan,59.5667,150.8,25.54,snow,96,100,4.45,RU
294,Yining,29.0361,114.5636,58.64,overcast clouds,72,92,2.01,CN
295,Barcelona,41.3888,2.159,67.68,broken clouds,84,75,3.44,ES
296,Paita,-5.0892,-81.1144,68.59,clear sky,71,9,19.06,PE
297,Noumea,-22.2763,166.4572,77.0,broken clouds,99,82,4.0,NC
298,Buala,-8.145,159.5921,80.24,moderate rain,82,72,3.74,SB
299,Lebu,-37.6167,-73.65,51.85,overcast clouds,88,100,19.06,CL
300,Kulhudhuffushi,6.6221,73.07,81.21,scattered clouds,70,34,6.17,MV
301,Yar-Sale,66.8333,70.8333,19.96,overcast clouds,91,100,12.62,RU
302,Lorengau,-2.0226,147.2712,82.2,overcast clouds,75,100,7.31,PG
303,Oranjemund,-28.55,16.4333,60.4,broken clouds,94,77,4.63,NA
304,Opuwo,-18.0607,13.84,75.79,overcast clouds,37,96,8.72,NA
305,Vanimo,-2.6741,141.3028,76.64,overcast clouds,89,100,4.07,PG
306,Rocha,-34.4833,-54.3333,69.57,clear sky,71,3,12.28,UY
307,Elyria,41.3684,-82.1077,67.84,clear sky,57,0,1.01,US
308,Pangai,-19.8,-174.35,77.32,clear sky,83,1,15.05,TO
309,Lasa,46.6166,10.7002,53.37,scattered clouds,71,45,1.68,IT
310,Kosh-Agach,50.0,88.6667,15.82,few clouds,56,24,2.91,RU
311,Geraldton,-28.7667,114.6,61.21,scattered clouds,72,40,20.71,AU
312,Sola,-13.8833,167.55,81.28,clear sky,71,5,3.56,VU
313,Ngunguru,-35.6167,174.5,62.33,light rain,93,100,11.21,NZ
314,Pisco,-13.7,-76.2167,66.02,clear sky,77,0,11.5,PE
315,Abnub,27.2696,31.1511,71.82,clear sky,42,0,8.57,EG
316,Tyshkivka,48.4967,30.9423,55.96,overcast clouds,62,91,12.48,UA
317,Iquique,-20.2208,-70.1431,66.24,few clouds,68,14,4.83,CL
318,Poya,-21.35,165.15,76.64,clear sky,80,4,1.48,NC
319,Fayaoue,-20.65,166.5333,77.9,clear sky,79,0,3.91,NC
320,Lagos,6.5833,3.75,80.92,moderate rain,93,34,4.14,NG
321,Aripuana,-9.1667,-60.6333,78.22,overcast clouds,92,88,2.73,BR
322,Sept-Iles,50.2001,-66.3821,48.2,scattered clouds,73,40,12.66,CA
323,Ruteng,-8.6136,120.4721,61.14,overcast clouds,91,100,2.66,ID
324,Sitka,57.0531,-135.33,39.2,moderate rain,93,100,8.86,US
325,Luleburgaz,41.4039,27.3592,52.36,clear sky,84,0,5.75,TR
326,Shingu,33.7333,135.9833,50.59,overcast clouds,76,95,5.91,JP
327,Camapua,-19.5314,-54.0439,88.16,broken clouds,47,77,8.57,BR
328,Shimoda,34.6667,138.95,54.1,overcast clouds,71,100,11.12,JP
329,Luocheng,29.3848,104.0286,57.99,overcast clouds,93,100,1.61,CN
330,Qaqortoq,60.7167,-46.0333,24.35,scattered clouds,84,45,6.78,GL
331,Kandrian,-6.2167,149.55,77.63,light rain,89,92,6.17,PG
332,Bosaso,11.2842,49.1816,77.77,clear sky,66,2,3.0,SO
333,Padang,-0.9492,100.3543,76.51,overcast clouds,87,100,2.91,ID
334,Ishigaki,24.3448,124.1572,77.13,overcast clouds,88,100,20.71,JP
335,Palembang,-2.9167,104.7458,77.09,moderate rain,94,75,0.0,ID
336,Solnechnyy,50.7214,136.6319,29.86,overcast clouds,60,96,2.35,RU
337,Jaumave,23.4167,-99.3833,78.26,scattered clouds,43,31,5.41,MX
